time;ms;data
11:17:48;65;6 02 00 1d 20 ef bf bd 20 20 20 00 00 20 20 ef bf bd 29 20 20 0f 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;74;12 02 00 1d 20 36 ef bf bd 20 20 00 00 20 20 ef bf bd 68 20 20 44 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;108;8 02 00 1d 20 32 ef bf bd 20 20 00 00 20 20 ef bf bd 20 20 04 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;123;3 02 00 1d 20 ef bf bd 0a 20 20 00 00 20 20 ef bf bd 28 20 20 4b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;155;15 02 00 1d 20 ef bf bd 01 20 20 00 00 20 20 ef bf bd 0f 20 20 0e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;188;2 02 00 1d 20 74 01 20 20 00 00 20 20 40 27 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;195;7 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 01 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:48;234;19 02 00 1d 20 ef bf bd 7c 20 20 00 00 20 20 ef bf bd 64 20 20 5a 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;243;5 02 00 1d 20 2f 10 20 20 00 00 20 20 51 ef bf bd 20 20 4e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;293;4 02 00 1d 20 54 2a 20 20 00 00 20 20 0c 4a 20 20 15 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;356;14 02 00 1d 20 6e ef bf bd 20 20 00 00 20 20 ef bf bd 7a 20 20 2d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;389;1 02 00 1d 20 50 51 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 11 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;432;18 02 00 1d 20 ef bf bd 74 20 20 00 00 20 20 69 35 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;493;8 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 07 20 20 6b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;525;16 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 1b 05 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;544;10 02 00 1d 20 22 ef bf bd 20 20 00 00 20 20 3a ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;574;9 02 00 1d 20 ef bf bd 15 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 73 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;604;6 02 00 1d 20 41 53 20 20 00 00 20 20 ef bf bd 7e 20 20 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;654;17 02 00 1d 20 ef bf bd 2f 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 49 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;656;11 02 00 1d 20 4a ef bf bd 20 20 00 00 20 20 27 ef bf bd 20 20 5c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;659;12 02 00 1d 20 29 63 20 20 00 00 20 20 ef bf bd 23 20 20 63 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;691;3 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 12 6d 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;729;15 02 00 1d 20 46 ef bf bd 20 20 00 00 20 20 15 61 20 20 49 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;737;7 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 2f 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:48;745;19 02 00 1d 20 66 ef bf bd 20 20 00 00 20 20 56 ef bf bd 20 20 78 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;788;2 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 60 20 20 03
11:17:48;817;17 02 00 1d 20 66 ef bf bd 20 20 00 00 20 20 68 38 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;830;4 02 00 1d 20 37 ef bf bd 20 20 00 00 20 20 6a 16 20 20 43 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;870;14 02 00 1d 20 4c ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 05 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;926;18 02 00 1d 20 04 ef bf bd 20 20 00 00 20 20 7e ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:48;935;8 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 72 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:49;7;1 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 05 ef bf bd 20 20 57 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;98;10 02 00 1d 20 59 52 20 20 00 00 20 20 ef bf bd 39 20 20 04 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;105;16 02 00 1d 20 61 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:49;107;5 02 00 1d 20 ef bf bd 20 20 00 00 20 20 29 ef bf bd 20 20 42 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;114;9 02 00 1d 20 5f ef bf bd 20 20 00 00 20 20 ef bf bd 34 20 20 0b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;140;11 02 00 1d 20 5c 20 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 61 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;185;6 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 6b 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:49;204;15 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 d2 83 20 20 3d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;212;7 02 00 1d 20 3f ef bf bd 20 20 00 00 20 20 ef bf bd 70 20 20 1e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;249;2 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 17 ef bf bd 20 20 08 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;258;19 02 00 1d 20 ef bf bd 2e 20 20 00 00 20 20 48 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;276;17 02 00 1d 20 ef bf bd 24 20 20 00 00 20 20 55 ef bf bd 20 20 3d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;323;5 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 67 ef bf bd 20 20 12 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;335;4 02 00 1d 20 ef bf bd 32 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 17 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;361;14 02 00 1d 20 c9 9f 20 20 00 00 20 20 39 29 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;403;18 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 0b 20 20 4b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;429;1 02 00 1d 20 ef bf bd 36 20 20 00 00 20 20 43 ef bf bd 20 20 58 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;479;16 02 00 1d 20 51 ef bf bd 20 20 00 00 20 20 ef bf bd 20 20 75 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;500;3 02 00 1d 20 3d ef bf bd 20 20 00 00 20 20 69 78 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;509;8 02 00 1d 20 05 ef bf bd 20 20 00 00 20 20 69 38 20 20 5d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;537;10 02 00 1d 20 c9 8a 20 20 00 00 20 20 7e ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;578;9 02 00 1d 20 ef bf bd 0c 20 20 00 00 20 20 7c ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;584;11 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 ef bf bd 0a 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:49;665;6 02 00 1d 20 7b 50 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 4c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;701;15 02 00 1d 20 31 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:49;785;7 02 00 1d 20 2e ef bf bd 20 20 00 00 20 20 49 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;785;12 02 00 1d 20 11 0d 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 3c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;811;2 02 00 1d 20 41 6c 20 20 00 00 20 20 75 6b 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;831;19 02 00 1d 20 21 ef bf bd 20 20 00 00 20 20 29 38 20 20 3b 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;857;5 02 00 1d 20 ef bf bd 76 20 20 00 00 20 20 05 ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;885;4 02 00 1d 20 ef bf bd 43 20 20 00 00 20 20 ef bf bd 44 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;910;3 02 00 1d 20 7d ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 0e 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;916;17 02 00 1d 20 49 1d 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 6d 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:49;944;14 02 00 1d 20 07 30 20 20 00 00 20 20 57 ef bf bd 20 20 57 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;18;18 02 00 1d 20 1f 7c 20 20 00 00 20 20 6c 2e 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;45;1 02 00 1d 20 06 3b 20 20 00 00 20 20 2a ef bf bd 20 20 5a 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;76;8 02 00 1d 20 2f ef bf bd 20 20 00 00 20 20 69 5b 20 20 0c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;95;9 02 00 1d 20 ef bf bd 20 20 00 00 20 20 ef bf bd 28 20 20 3c 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;124;16 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 6f ef bf bd 20 20 33 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;156;11 02 00 1d 20 1f 39 20 20 00 00 20 20 73 1a 20 20 78 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;164;6 02 00 1d 20 25 ef bf bd 20 20 00 00 20 20 ef bf bd ef bf bd 20 20 3a 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;201;12 02 00 1d 20 ef bf bd 75 20 20 00 00 20 20 1a ef bf bd 20 20 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
11:17:50;215;3 02 00 1d 20 ef bf bd ef bf bd 20 20 00 00 20 20 7e ef bf bd 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20
11:17:50;244;7 02 00 1d 20 78 37 20 20 00 00 20 20 ef bf bd 15 20 20 ef bf bd 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
