time;ms;channel;data
14:37:02;872;801502;00 1D 20 EF BF BD 65 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:02;931;800402;00 1D 20 EF BF BD 73 20 20 00 00 20 20 EF BF BD 11 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;967;801802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 31 38 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;968;800802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 74 15 20 20 57 20 20 20 20 20 20 20 20 20 20 20
14:37:02;968;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 75 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:03;5;801502;00 1D 20 42 EF BF BD 20 20 00 00 20 20 62 EF BF BD 20 20 4C 20 20 20 20 20 20 20 20 20 20 20
14:37:03;5;801902;00 1D 20 7F EF BF BD 20 20 00 00 20 20 0C EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:03;125;800402;00 1D 20 4E 15 20 20 00 00 20 20 EF BF BD 19 20 20 1B 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:03;144;800802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 66 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:03;145;801102;00 1D 20 4D EF BF BD 20 20 00 00 20 20 EF BF BD 54 20 20 65 20 20 20 20 20 20 20 20 20 20 20
14:37:03;145;801802;00 1D 20 EF BF BD 11 20 20 00 00 20 20 60 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:03;188;801902;00 1D 20 2E 7E 20 20 00 00 20 20 71 36 20 20 7E 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
14:37:03;188;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 2A 1A 20 20 3E 20 20 20 20 20 20 20 20 20 20 20
